img_emoji;word_count;count_emoji;emotion;tonality;class;clean_text
😂;8;1;smile;positive/negative;0;да вы не шарите просто))😂
🤣;8;1;smile;positive/negative;0;как негритянку не поставили на роль монро🤣
🙃;8;1;smile;positive/negative;0;будет будет 🙃на все 100% будет
🤔;10;1;no_emotion;neutral/skeptical;1;она же на золотую малину номинирована... странно... 🤔
😁;3;1;smile;positive/negative;0;не позорься 😁
😁;3;1;smile;positive/negative;0;не указывай😁
🙄;8;1;no_emotion;neutral/skeptical;1;анжелина джоли🙄  боже человек из вакуума.
🤣;4;1;smile;positive/negative;0;взорвали человеку мозг🤣
😶;3;1;no_emotion;neutral/skeptical;1;без комментариев 😶
😄;6;1;smile;positive/negative;0;оно вроде еще не определилось😄
🙈;9;1;no_emotion;neutral/skeptical;1;то я и подумала что это меган фокс 🙈
🤣;9;1;smile;positive/negative;0;всм внучка обычная? нифига у тебя притензии🤣
🤣;4;1;smile;positive/negative;0;только с сиськами🤣
😄;10;1;smile;positive/negative;0;освободил и вот к чему это привело. злодей😄
😂;10;1;smile;positive/negative;0;на фуражке то же что и хохлы носят. 😂
😉;2;1;smile;positive/negative;0;неспроста 😉
🤣;10;1;smile;positive/negative;0;100% это том придумал этой фирмы мяч взять 🤣
😅;8;1;smile;positive/negative;0;я похожа на эмму стоун, замучили уже😅
🤣;4;1;smile;positive/negative;0;стоун с алика🤣
😅;10;1;smile;positive/negative;0;посмотри фильм с его участием «кто там» 😅
😏;5;1;no_emotion;neutral/skeptical;1;вообще то он беларус😏
🤔;3;1;no_emotion;neutral/skeptical;1;хороший мультик🤔
🤣;6;1;smile;positive/negative;0;так есть же возрастные?🤣
😳;4;1;shame;negative;6;😳 чё!?
😂;6;1;smile;positive/negative;0;всем то не рассказывай! 😂
🥲;9;1;sadness;positive/negative;13;все , все, не продолжайте , а то заплачу сейчас 🥲
😄;6;1;smile;positive/negative;0;ослеплённый желаниями взрыв из прошлого😄
😊;7;1;smile;positive/negative;0;за то начали ценить друг друга 😊
🤣;9;1;smile;positive/negative;0;по сравнению с ведьмаком еще вполне себе ничего🤣
😄;3;1;smile;positive/negative;0;полностью согласна😄
🤣;6;1;smile;positive/negative;0;видимо посмотрев две серии сериала 🤣
😇;5;1;smile;positive/negative;0;мне понравилось, жду продолжения 😇
😇;6;1;smile;positive/negative;0;а мне все равно понравился 😇
😄;2;1;smile;positive/negative;0;чилиец 😄
🥲;5;1;sadness;positive/negative;13;завтра пошпирляем на работу🥲
🤣;7;1;smile;positive/negative;0;главное не чебурахнуться с этим понедельником🤣
🤣;8;1;smile;positive/negative;0;накручено потому что не в долларах написали 🤣
😂;6;1;smile;positive/negative;0;22 дня и ноль конкурентов 😂
🤣;5;1;smile;positive/negative;0;не ждём ни разу🤣
🤣;10;1;smile;positive/negative;0;против аватара 2 на более чем 2 млрд $🤣
😆;4;1;smile;positive/negative;0;по 5 раз😆
😄;9;1;smile;positive/negative;0;всякие бездари завидуют успеху чебурашки и пытаются хейтить 😄
😆;9;1;smile;positive/negative;0;мне одному сначала показалось что это дилара? 😆
🤣;10;1;smile;positive/negative;0;какому-то онанюге сломал психику... а может и ориентацию🤣
😲;4;1;surprise;positive/negative;9;😲это правда?
😊;9;1;smile;positive/negative;0;"у ""ней"" есть так называемая изюминка 😊"
😁;7;1;smile;positive/negative;0;посмотрите новый сериал «контейнер» 😁
🤣;5;1;smile;positive/negative;0;какой брат два 🤣 сёстры
😀;3;1;smile;positive/negative;0;а кто😀
😄;4;1;smile;positive/negative;0;мне тоже интересно 😄
🙄;11;1;no_emotion;neutral/skeptical;1;ага и со сцены этот умный человек демонстрировал свои причандалы 🙄
😁;4;1;smile;positive/negative;0;не без этого😁
😊;2;1;smile;positive/negative;0;спасибо😊
😉;5;1;smile;positive/negative;0;«реальная любовь» 😉
😊;5;1;smile;positive/negative;0;похожа на папу.😊
😜;3;1;no_emotion;positive/negative;3;в погребе😜
😅;2;1;smile;positive/negative;0;внатури 😅
🤣;8;1;smile;positive/negative;0;да ни…я и лука мешок🤣
😳;8;1;shame;negative;6;очуметь можно, какой же молодой хью джекман 😳
🙈;10;1;no_emotion;neutral/skeptical;1;не могу воспринимать хью серьёзно после фильма про яйца🙈
🤪;9;1;no_emotion;positive/negative;3;у него на месте кадыка два мужских яйца 🤪
😅;4;1;smile;positive/negative;0;джекмана еле узнать 😅
😅;9;1;smile;positive/negative;0;это и есть хью джекман просто так получился😅
😅;6;1;smile;positive/negative;0;это хью джекман и есть😅
😅;3;1;smile;positive/negative;0;дерево поет😅
😁;5;1;smile;positive/negative;0;ещё и на немецком😁
😂;10;1;smile;positive/negative;0;я помню до слёз смеялась с его слов этих 😂
😂;2;1;smile;positive/negative;0;ок😂
😂;4;1;smile;positive/negative;0;чё шипишь?😂
😄;9;1;smile;positive/negative;0;до сих пор ни одной серии не видел 😄
😍;7;1;joy;positive;2;спартак 😍чего раза 3 пересматривала.
🤣;7;1;smile;positive/negative;0;ну под пивас нормально будет...🤣
😂;2;1;smile;positive/negative;0;ору😂
😀;3;1;smile;positive/negative;0;в точку 😀
🙄;3;1;no_emotion;neutral/skeptical;1;обычная внешность🙄
🤣;4;1;smile;positive/negative;0;было бы чему 🤣
😅;9;1;smile;positive/negative;0;он с первой части не для детей был😅
☺;6;1;smile;positive/negative;0;японцы что перестали стареть?☺
🤣;7;1;smile;positive/negative;0;я в них не сильно разбираюсь🤣
😂;10;1;smile;positive/negative;0;кафе принц, тогда он прям в самом соку был😂
😒;4;1;disgust;neutral/skeptical;10;какое неприятное лицо😒
😁;5;1;smile;positive/negative;0;у петрова больше перевоплощений 😁
😏;5;1;no_emotion;neutral/skeptical;1;....2-3х ролей😏
😂;11;1;smile;positive/negative;0;мда какой зачуханный спортзал ржавая гиря зато плакат единая россия 😂
😂;8;1;smile;positive/negative;0;зато все свое ведь это так красиво 😂
😁;4;1;smile;positive/negative;0;стала искусственно красивой😁
😁;3;1;smile;positive/negative;0;мехмет фэшн😁
🥴;7;1;no_emotion;positive/negative;3;не про строительную бригаду уж точно 🥴
😅;9;1;smile;positive/negative;0;слава богу это дырявый панин тут не снимался😅
🤔;6;1;no_emotion;neutral/skeptical;1;голова грязная или мокрая? 🤔
😄;3;1;smile;positive/negative;0;невзаправдашний)😄
🤣;8;1;smile;positive/negative;0;у джона сноу вместо волка какой-то шпиц🤣
🙈;5;1;no_emotion;neutral/skeptical;1;они все одинаковые какие-то 🙈
😁;7;1;smile;positive/negative;0;николь кидман в наше время? 😁
😉;10;1;smile;positive/negative;0;я не смотрела  этот сериал, коляна  только  одного знаю 😉
😀;9;1;smile;positive/negative;0;я подумала это актер из 50 оттенков серого😀
😁;3;1;smile;positive/negative;0;и я😁
😆;5;1;smile;positive/negative;0;я и не узнала 😆
😃;8;1;smile;positive/negative;0;я подумала бабкина😃 а так не знаю
😊;11;1;smile;positive/negative;0;ну лично мне форсаж весь зашëл особенно конец последнего фильма 😊
😼;7;1;smile;positive/negative;0;"""сегодня я отдам долг"" 😼"
😂;10;1;smile;positive/negative;0;а я думал он до сих пор с валей 😂
🤔;4;1;no_emotion;neutral/skeptical;1;где?🫣🤔
😊;3;1;smile;positive/negative;0;шикарная женщина😊
🤣;9;1;smile;positive/negative;0;видима говно грызёт что не его бабу похвалила🤣
😄;3;1;smile;positive/negative;0;целлюлит шикарен😄
🤣;5;1;smile;positive/negative;0;а жопа , вялый апельсин 🤣
😂;6;1;smile;positive/negative;0;написал пузатый и старый мужик😂
🤣;11;1;smile;positive/negative;0;он бесил по хлеще амбридж пока нам не показали амбридж🤣
😂;2;1;smile;positive/negative;0;😂 жиза
🤣;3;1;smile;positive/negative;0;похож кстати 🤣
😎;3;1;no_emotion;positive/negative;3;бриенна тарт 😎
😏;2;1;no_emotion;neutral/skeptical;1;да 😏
😎;6;1;no_emotion;positive/negative;3;нужно будет глянуть на досуге 😎
😁;11;1;smile;positive/negative;0;и вроде его в каком то фильме миньет делать заставили😁
😂;3;1;smile;positive/negative;0;почти приболтали 😂
😆;7;1;smile;positive/negative;0;всегда смотрю только на его брови 😆
😄;3;1;smile;positive/negative;0;бровки домиком 😄
🤣;3;1;smile;positive/negative;0;набухшие яйца 🤣
😆;8;1;smile;positive/negative;0;ты посмотри пока мама спит этот эпизод 😆
😆;7;1;smile;positive/negative;0;все-таки его тогда укусил радиоактивный паук😆
😂;2;1;smile;positive/negative;0;гриверы 😂
🤣;7;1;smile;positive/negative;0;да вроде такой же у@бок🤣
😁;7;1;smile;positive/negative;0;ему не идет быть супер героем😁
😂;11;1;smile;positive/negative;0;ты его даже ещё в этой роли не видел ахах 😂
😍;3;1;joy;positive;2;очень красивая 😍
❤;3;1;joy;positive;2;шикарная девочка❤
😂;5;1;smile;positive/negative;0;зайдет и прочитает обязательно😂
😂;2;1;smile;positive/negative;0;шикаку😂
😂;7;1;smile;positive/negative;0;девочка ты наша)) обиделась😂
🥳;4;1;joy;positive;2;и у меня 🥳
🤔;6;1;no_emotion;neutral/skeptical;1;кто это такая вообще?🤔
😁;3;1;smile;positive/negative;0;капитан очевидность😁
😂;9;1;smile;positive/negative;0;кто-нибудь уже говорил , что это яна кошкина ?😂
😁;5;1;smile;positive/negative;0;хорошая у кошки яна 😁
🤣;9;1;smile;positive/negative;0;за ту цену сто продаётся точно не нужна🤣
😂;4;1;smile;positive/negative;0;не считая перекупов😂
😀;3;1;smile;positive/negative;0;свободная касса 😀
😅;4;1;smile;positive/negative;0;для черно-жёлтого ютуба😅
😆;9;1;smile;positive/negative;0;чтоб заметили это ей надо было титей светануть😆
🤢;2;1;disgust;negative;8;редкостная 🤢
😉;9;1;smile;positive/negative;0;марионетки дьявола: за деньги , любой каприз...😉
😉;8;1;smile;positive/negative;0;на вкус и цвет все фломастеры разные😉
😄;6;1;smile;positive/negative;0;аааа ааа  это запрещены приём 😄
😉;10;1;smile;positive/negative;0;я высказала своё мнение) не навязывайте мне своё😉
🤗;3;1;joy;positive;2;каждому свое🤗
☺;4;1;smile;positive/negative;0;тут соглашусь ☺️
😁;7;1;smile;positive/negative;0;а ну да я и забыла😁
😁;11;1;smile;positive/negative;0;я пользуюсь, но не смотрю.. смотрю мультики и сказки 😁
😁;6;1;smile;positive/negative;0;"наверное "" талант"" ивлеевой😁"
🥳;7;1;joy;positive;2;ааааанаконец-то единомышленник!!!!🥳
🤔;7;1;no_emotion;neutral/skeptical;1;так вы и детей новерное воспитывает 🤔
😂;9;1;smile;positive/negative;0;какая связь между ивлеевой и воспитанием детей? 😂
☺;3;1;smile;positive/negative;0;спасибо ☺️
🤔;6;1;no_emotion;neutral/skeptical;1;точно 🤔 в стиле я перепутала
🤣;8;1;smile;positive/negative;0;хоть не черная  азиатка с нетрадиционной ориентацией🤣
😂;6;1;smile;positive/negative;0;ну насчёт ориентации ты ошибся 😂
🤣;9;1;smile;positive/negative;0;тогда по сценарию джейку придется болоболить весь фильм 🤣
😅;3;1;smile;positive/negative;0;да кстати😅
🤔;3;1;no_emotion;neutral/skeptical;1;думаешь? 🤔
🤣;6;1;smile;positive/negative;0;слово фу подразумевает именно зависть 🤣
😑;11;1;no_emotion;neutral/skeptical;1;сериал реально хорош или чисто из за момоа топ? 😑
😢;5;1;sadness;negative;4;сочувствую близким и родным😢
😒;7;1;disgust;neutral/skeptical;10;в этот раз пацан выживет?😒
🤣;3;1;smile;positive/negative;0;опять умирает 🤣
🤣;10;1;smile;positive/negative;0;если бы он на неё сверху лёг выжил бы 🤣
😃;7;1;smile;positive/negative;0;причёска у кейт на постере гениальная 😃
🤣;4;1;smile;positive/negative;0;мб ярослав черный 🤣
😀;3;1;smile;positive/negative;0;по факту😀
😄;5;1;smile;positive/negative;0;ты то куда лезешь 😄
😤;6;1;anger;negative;7;что-то её стало слишком много 😤
😁;5;1;smile;positive/negative;0;во всех местах! 😁
😁;9;1;smile;positive/negative;0;чувак похоже больше по мужской красоте спец! 😁
😂;8;1;smile;positive/negative;0;он похоже больше по шреку западает! 😂
🤠;4;1;no_emotion;neutral/skeptical;1;на тебя похожа 🤠
🤣;5;1;smile;positive/negative;0;лесан я люблю тебя 🤣
🤣;11;1;smile;positive/negative;0;тотдаже прикольнеено я его не смотрювремени нет🤣
😆;8;1;smile;positive/negative;0;такое впечатление, что абсолютно пофиг только мне😆
😑;4;1;no_emotion;neutral/skeptical;1;не только вам😑
😤;11;1;anger;negative;7;ну да тупят харламова туда сюда якобы теперь мужа ляйсан😤
😂;10;1;smile;positive/negative;0;у меня только что сосед от этой новости повесился😂
😐;6;1;no_emotion;neutral/skeptical;1;эту хрень ещё смотрят?😐
🤣;6;1;smile;positive/negative;0;с ним поди тренишь еще🤣
😀;2;1;smile;positive/negative;0;ага 😀
😁;5;1;smile;positive/negative;0;чего то селена округлилась 😁
😔;7;1;sadness;negative;4;да я уже почитала бедняга она 😔
🤭;5;1;no_emotion;neutral/skeptical;1;а селена фанат макдоналдса 🤭
😅;5;1;smile;positive/negative;0;ага с уиллом смитом😅
😜;5;1;no_emotion;positive/negative;3;чего выяснять уилл смит😜
😁;9;1;smile;positive/negative;0;гонщики не гонят гонщики гоняют но не загоняются😁
😁;5;1;smile;positive/negative;0;бросила после 4 сезона 😁
😂;4;1;smile;positive/negative;0;вас забыла спросить  😂
😏;11;1;no_emotion;neutral/skeptical;1;так же и вас я забыла спросить о своем мнении😏
😂;9;1;smile;positive/negative;0;где она в отеле с кучей негров ?😂
😑;8;1;no_emotion;neutral/skeptical;1;не могу понять что на ней одето😑
😅;9;1;smile;positive/negative;0;😅 как будто что то оторвалась от штанин)
😊;11;1;smile;positive/negative;0;обожаю таких критиков  а особенно когда их ставят на место 😊
😂;2;1;smile;positive/negative;0;одеяло 😂
😂;7;1;smile;positive/negative;0;бабкин ковер и обувь крокодила гены😂
😂;5;1;smile;positive/negative;0;цыганка в паленом гучи😂
🤨;8;1;no_emotion;neutral/skeptical;1;за что не пускать?)) 🤨
😂;5;1;smile;positive/negative;0;это не так страшно 😂
🤣;6;1;smile;positive/negative;0;а патриотам нельзя путешествовать? 🤣
🤔;3;1;no_emotion;neutral/skeptical;1;канада говоришь 🤔
😂;11;1;smile;positive/negative;0;ахах без вас разберутся где летать и деньги свои тратить 😂
😩;8;1;sadness;negative;4;мрать по чем продашь я её ибал 😩
😂;4;1;smile;positive/negative;0;он самый... 😂
😂;5;1;smile;positive/negative;0;у него были волосы 😂
😁;10;1;smile;positive/negative;0;это как с нагиевым😁у него тоже они были
😂;10;1;smile;positive/negative;0;такое ощущение что это был не он или парик 😂
😟;3;1;sadness;negative;4;да ладно 😟
😀;5;1;smile;positive/negative;0;каждый зарабатывает как может 😀
😄;7;1;smile;positive/negative;0;в 90е его никто не знал😄
😄;3;1;smile;positive/negative;0;спасибо вспомнил😄
😄;7;1;smile;positive/negative;0;ещё послезавтра человек паук горбатая гора 😄
🤣;7;1;smile;positive/negative;0;только они стареют, а он нет🤣
🤣;4;1;smile;positive/negative;0;эликсир молодости пьёт🤣
🤣;4;1;smile;positive/negative;0;либо кровь девственниц🤣
😁;5;1;smile;positive/negative;0;ладно я тебя понял😁
😂;9;1;smile;positive/negative;0;ты че так впряглась то за него ? 😂
😁;3;1;smile;positive/negative;0;эвелина блёданс 😁
😂;3;1;smile;positive/negative;0;шар бильярдный😂
☺;3;1;smile;positive/negative;0;благодарю ☺️
😁;7;1;smile;positive/negative;0;была у него такая же куртёха😁
😁;2;1;smile;positive/negative;0;😁точно
😅;7;1;smile;positive/negative;0;все время на что-то жалуется  капризная 😅
😅;9;1;smile;positive/negative;0;тогда она была никем  а сейчас же звезда 😅
😃;6;1;smile;positive/negative;0;это альтрон 2.0 мстить вернулся 😃
🤣;9;1;smile;positive/negative;0;у вас в сибири кроме снега нет ниxyя🤣
😊;6;1;smile;positive/negative;0;спасибо 😊 есть ещё адекватные люди
🤣;6;1;smile;positive/negative;0;🤣 напоминаешь гаишника из наша раша
😃;11;1;smile;positive/negative;0;разве в убойной силе?? это же дукалис говорил 😃
😁;7;1;smile;positive/negative;0;и существуют отсылки друг к другу 😁
😆;3;1;smile;positive/negative;0;смешной комент😆
👿;4;1;anger;negative;7;это не легенды 👿
🤣;7;1;smile;positive/negative;0;но запомнится миру в интевью дудя🤣
🙃;8;1;smile;positive/negative;0;сиськи не вытянули фильм ношу не посильную 🙃
😢;7;1;sadness;negative;4;а как же легендарный дукалис?😢
😐;4;1;no_emotion;neutral/skeptical;1;и не говори😐
🤣;2;1;smile;positive/negative;0;🤣сумочками
🤣;6;1;smile;positive/negative;0;да ради кассовых сборов оживят🤣
💯;2;1;no_emotion;positive/negative;3;точно 💯
😊;10;1;smile;positive/negative;0;актриса она и в жизни умеет быть разной.😊
🤔;6;1;no_emotion;neutral/skeptical;1;а почему глаза сменили цвет 🤔
😁;7;1;smile;positive/negative;0;либо фильтры на фотках много либо 😁
😐;6;1;no_emotion;neutral/skeptical;1;лишь бы не на джейкобе 😐
😢;8;1;sadness;negative;4;вот казёл! разбил сердце моей сестре 😢
😌;5;1;joy;positive;2;значит мне не показалось 😌
😁;7;1;smile;positive/negative;0;да знаю)) но похожа😁
☺;7;1;smile;positive/negative;0;розали замужем за деймоном сальваторе ☺️
😄;10;1;smile;positive/negative;0;я её даже не узнала сразу пару раз перепроверила 😄
🤣;5;1;smile;positive/negative;0;выглядит как 3 ноги 🤣
🤣;9;1;smile;positive/negative;0;непромытыш? что за слово то такое?🤣
🤣;5;1;smile;positive/negative;0;петров под прикрытием работает🤣
😂;8;1;smile;positive/negative;0;а ты сверху вниз сравнивай так лучше 😂
🤣;4;1;smile;positive/negative;0;не матерись удаляют 🤣
😆;9;1;smile;positive/negative;0;а как же ты забыл про петрова? 😆
🤣;10;1;smile;positive/negative;0;он в остальной братии просто реже мелькаетна тв. 🤣
😁;8;1;smile;positive/negative;0;а отец бурунов? петров где?😁
😊;7;1;smile;positive/negative;0;кстати а ты на директрису похожа😊
🤣;11;1;smile;positive/negative;0;если б его сняли наши🤣 я б не посмотрела.
🤣;7;1;smile;positive/negative;0;смотрю у вас это больной вопрос🤣
😅;4;1;smile;positive/negative;0;прям ваще братья😅
🙈;8;1;no_emotion;neutral/skeptical;1;господи🙈 )! похож он )!
😀;3;1;smile;positive/negative;0;и красавчиков😀
😊;11;1;smile;positive/negative;0;у вас очень красивые глаза почти как у александры даддарио😊
🤣;4;1;smile;positive/negative;0;нифига ты добрая🤣
😂;9;1;smile;positive/negative;0;я знаю привожу пример кто был действительно красивым😂
😥;5;1;sadness;negative;4;некоторым лучше не улыбаться😥
🤣;9;1;smile;positive/negative;0;не выйдет вообще нет даже дат хватит гадать🤣
🤡;7;1;no_emotion;positive/negative;3;🤡 маленький это понятно иди дальше верь
🤣;4;1;smile;positive/negative;0;кароче чьи-то бывшие🤣
😂;9;1;smile;positive/negative;0;она как будто реально из мира гари поттера😂
😉;10;1;smile;positive/negative;0;или до сих пор и не вышла из роли 😉
😂;7;1;smile;positive/negative;0;ну или зелёный слоник на крайняк 😂
🤣;6;1;smile;positive/negative;0;только хотела это написать.. 🤣
😁;10;1;smile;positive/negative;0;чироков еще более менее😁 а этот ну просто невыносим
😒;9;1;disgust;neutral/skeptical;10;возможно ну агата рассказывала неприятные вещи про него😒
🙃;10;1;smile;positive/negative;0;да я за ними не слежу, своя жизнь интереснее 🙃
😎;7;1;no_emotion;positive/negative;3;рожу нажрал, но лучше не стало 😎
😹;11;1;smile;positive/negative;0;а как же геймеры?😹 татуировка до сих пор есть
😆;10;1;smile;positive/negative;0;она кучу операций сделала. может под агату? 😆
😃;6;1;smile;positive/negative;0;под балтику 9-ку 😃
🥺;6;1;sadness;negative;4;главное чтоб он не узнал🥺
🤣;9;1;smile;positive/negative;0;интересно он знает что креветки желательно живыми есть🤣
😉;5;1;smile;positive/negative;0;с солями все хорошеет 😉
😃;10;1;smile;positive/negative;0;нет конечно тратить на то чтобы читать об этом 😃
🤣;3;1;smile;positive/negative;0;обкакался русик 🤣
🤢;11;1;disgust;negative;8;это та самая у которой весь фильм пасть не закрывалась🤢
🤗;11;1;joy;positive;2;статистика вещь неумолимая/беспощадная и необсуждаемая!!! 🤗
🤣;9;1;smile;positive/negative;0;это только в россии в 25 старородящие смешно 🤣
🤔;5;1;no_emotion;neutral/skeptical;1;отчего она страдала?🤔
🤩;11;1;joy;positive;2;эко творит чудеса и в 47! всем здоровья! 🤩
🤣;8;1;smile;positive/negative;0;внуков уже надо иметь в таком возрасте🤣
🤣;11;1;smile;positive/negative;0;ну и «имейте» себе подобных  я не против 🤣
🤣;8;1;smile;positive/negative;0;так не я о перенаселении переживаю клоунесса 🤣
😂;11;1;smile;positive/negative;0;никто никого не судит) по твоему акку всё очевидно 😂
😁;4;1;smile;positive/negative;0;я буду скучать 😁
😢;11;1;sadness;negative;4;тогда самый расцвет короновируса был. не до неё было 😢
🤔;10;1;no_emotion;neutral/skeptical;1;переспала с половиной голливуда а под старость родила , молодец 🤔
😄;5;1;smile;positive/negative;0;видимо тебе не досталось 😄
🤣;4;1;smile;positive/negative;0;как твоя мать 🤣
😁;8;1;smile;positive/negative;0;у меня в 42 уже  внук был 😁
😅;9;1;smile;positive/negative;0;хах есть отбеливающие крема и утюги для волос 😅
🤡;2;1;no_emotion;positive/negative;3;телки 🤡
😁;3;1;smile;positive/negative;0;скажем жена😁
🤣;6;1;smile;positive/negative;0;заслуженный артист интернета серёжа кузнецов🤣
😅;8;1;smile;positive/negative;0;это какой по счету последний бой?😅
😆;7;1;smile;positive/negative;0;вообще вертитпсиханулчисто пацанский подход😆
🤔;8;1;no_emotion;neutral/skeptical;1;бои для дерьмаедов хотя сам иногда смотрю 🤔
😂;11;1;smile;positive/negative;0;его и в лучше года роняли 😂 причем не топовые бойцы
😎;2;1;no_emotion;positive/negative;3;раскидал 😎
🙃;10;1;smile;positive/negative;0;блин у меня долгов нет но шерстяных носок тоже 🙃
🤣;8;1;smile;positive/negative;0;тут таких старушек как карина не выкладывают 🤣
😄;2;1;smile;positive/negative;0;проактивность😄
😂;8;1;smile;positive/negative;0;первое правило наемного работника-пришел домой отключи телефон 😂
🥰;6;1;joy;positive;2;ути пути какие мы позитивные 🥰
😂;6;1;smile;positive/negative;0;а затем снова лёг спать 😂
🤣;10;1;smile;positive/negative;0;и проспал время к которому тебе куда-то нужно было🤣
😆;2;1;smile;positive/negative;0;было😆
😂;2;1;smile;positive/negative;0;жиза😂
😅;10;1;smile;positive/negative;0;"ох уж эти "" ещё пять минут"" .... 😅"
☺;9;1;smile;positive/negative;0;картинка американская откуда бы они знали патрика? ☺
😏;5;1;no_emotion;neutral/skeptical;1;ну вываливай своего буберчика 😏
🥺;2;1;sadness;negative;4;скрывается 🥺
😆;8;1;smile;positive/negative;0;она поняла,что у нее есть рот😆
😄;10;1;smile;positive/negative;0;еще один клоун пытается везде xoxла увидеть параноик пoexaвший😄
😂;7;1;smile;positive/negative;0;будем мерить вещи стоя на картонке😂
😂;11;1;smile;positive/negative;0;"""мы еще походим а потом к вам вернемся"" 😂"
🤣;11;1;smile;positive/negative;0;по чем кроссовки? а сколько у тебя есть ?🤣
😁;3;1;smile;positive/negative;0;проверь зажигалкой😁
😂;7;1;smile;positive/negative;0;то чувство когда ты с балаково 😂
😄;5;1;smile;positive/negative;0;пацан к успеху шел😄
😂;11;1;smile;positive/negative;0;это как за столом на банкете хочется попробовать практически всё 😂
🤡;4;1;no_emotion;positive/negative;3;а ты клоун 🤡
😢;10;1;sadness;negative;4;у меня всего 376 р отложены на пятницу побухать😢
😑;4;1;no_emotion;neutral/skeptical;1;пятница не выходной 😑
😳;7;1;shame;negative;6;это же где зп по 25к😳
😄;6;1;smile;positive/negative;0;какой байт чел это мдк😄
😂;8;1;smile;positive/negative;0;а если тройняшки вообще до пенсии вынашивать😂
🙃;4;1;smile;positive/negative;0;вообще-то там отредачили🙃
🤣;3;1;smile;positive/negative;0;режым лютует 🤣
🤡;9;1;no_emotion;positive/negative;3;для тупых: это почти 4 месяца беременности 🤡
🤔;3;1;no_emotion;neutral/skeptical;1;микросхемы?🤔
🤣;7;1;smile;positive/negative;0;как говорится художника обидеть может каждый 🤣
🤗;6;1;joy;positive;2;та я понял) удачки 🤗
🤔;11;1;no_emotion;neutral/skeptical;1;я не пойму кто вообще придумал вешать ковёр на стену🤔
😆;4;1;smile;positive/negative;0;тогда уж русватар 😆
🤡;6;1;no_emotion;positive/negative;3;ты крут как сто зaлyп 🤡
🙀;4;1;surprise;positive/negative;9;метадон злющая хрень🙀
🤣;4;1;smile;positive/negative;0;видел такое? 🤣
😂;2;1;smile;positive/negative;0;метадон😂
😄;10;1;smile;positive/negative;0;ну не тухлая а не первой свежести на любителя😄
😄;5;1;smile;positive/negative;0;а ты об этом😄
😎;7;1;no_emotion;positive/negative;3;всегда так делаю. пока помогает 😎
😊;3;1;smile;positive/negative;0;вай, красиво 😊
😄;6;1;smile;positive/negative;0;ты назвала кота шамиль?😄
😆;6;1;smile;positive/negative;0;ктомыто бля😆 новый сказочный персонаж
😄;5;1;smile;positive/negative;0;оно в говно 3😄
😂;8;1;smile;positive/negative;0;это очень смешно какой же ты дурак 😂
😂;7;1;smile;positive/negative;0;да тебе дурачку и санта-барбара зайдет 😂
😁;11;1;smile;positive/negative;0;я предполагал что ты дурачок  но не до такой степени😁
😂;8;1;smile;positive/negative;0;вот и я говорю что каклы долпоепы 😂
😁;6;1;smile;positive/negative;0;сказал какол с какляцкой фамилией 😁
😂;10;1;smile;positive/negative;0;пришел мужа защищать ?)) гейропейская семья ?😂
🧐;11;1;no_emotion;neutral/skeptical;1;"я, используя функцию ""отправить позже"" в telegram: 🧐"
😂;10;1;smile;positive/negative;0;я даже не знал что такая функция там есть😂
😄;11;1;smile;positive/negative;0;как и у фиат 124 ничего общего с ваз 2101😄
😭;3;1;sadness;negative;4;отпустите кисю😭
🤣;6;1;smile;positive/negative;0;у них уже свои дети🤣
😅;3;1;smile;positive/negative;0;было дело😅
😃;5;1;smile;positive/negative;0;зато иногда блюют смешно😃
🤣;11;1;smile;positive/negative;0;алергическая реакция но люди всё равно пьют пока не покраснеют🤣
😁;9;1;smile;positive/negative;0;у тебя на левой лопатке проявился знак бэтмэна 😁
😀;2;1;smile;positive/negative;0;возможно 😀
🤔;9;1;no_emotion;neutral/skeptical;1;а почему бог создал неверующих людей?! 🤔
🤗;11;1;joy;positive;2;а я нашёл вот стою на остановке радуюсь пуховик длинный 🤗
🤣;2;1;smile;positive/negative;0;раунд🤣
🤣;9;1;smile;positive/negative;0;оо а у вас он там находится?🤣
🤔;6;1;no_emotion;neutral/skeptical;1;левые пальцы в говне?🤔
🤣;6;1;smile;positive/negative;0;а вы шутник молодой человек🤣
😁;4;1;smile;positive/negative;0;д ладно тебе 😁
😁;4;1;smile;positive/negative;0;пиши про жопу😁
😂;8;1;smile;positive/negative;0;не отвалится от такой интенсивной дрочки?😂
😏;6;1;no_emotion;neutral/skeptical;1;так он мож не себе😏
😄;7;1;smile;positive/negative;0;это и мой список тоже:)😄
🤣;4;1;smile;positive/negative;0;ахахахаа убил комент🤣
😅;4;1;smile;positive/negative;0;для меня белая 😅
😁;6;1;smile;positive/negative;0;ваш просто на солнце выгорел 😁
😆;3;1;smile;positive/negative;0;свежие) 😆
😳;5;1;shame;negative;6;а такая бывает? 😳
😁;10;1;smile;positive/negative;0;в упор не вижу тут красного а он есть 😁
😆;9;1;smile;positive/negative;0;да ты б и так накидался дай повод😆
😊;5;1;smile;positive/negative;0;бесплатно и с рамшатйном 😊
😁;10;1;smile;positive/negative;0;я там в мясе около сцены был расскажи мне 😁
😂;4;1;smile;positive/negative;0;может тиль?😂
🤣;10;1;smile;positive/negative;0;щас он пару новых слов выучиттогда вам ответит🤣
